food,measure,g_or_ml,carbs_g,calories_kcal
Camarão à milanesa,1 Colher de Sopa,20,5,69
Camarão cozido,1 colher de sopa,20,0,18
Camarão cozido,1 unidade grande,30,0,27
Camarão cru,1 unidade grande,30,0,14
Camarão frito,1 colher de sopa,20,0,46
Camu-camu,6 unidades,48,3,15
Canapé de capaccio,1 torrada,3,2,20
Canela em pau Kitano®,1 unidade,2,1,5
Canela em pó,1 colher de chá,2,1,5
Canelone de frango,1 unidade média,45,9,87
Canelone de ricota,1 unidade média,30,7,74
Canja de galinha,1 concha média cheia,130,12,110
Canja de galinha,1 prato fundo,520,49,442
Canjica pronta,1 Colher de Sopa cheia,25,6,28
Canjica pronta,1 Concha média,120,28,134
Canjica pronta diet,1 Concha,120,13,86
Canjica pronta diet,1 Colher de Sopa,25,3,18
Canjiquinha de frango,1 Concha média,145,13,215
Capeletti de carne,1 escumadeira,50,25,141
Capeletti de carne Massa leve®,1 xícara de chá,100,44,223
Capeletti de frango,1 escumadeira,50,25,140
Capeletti de frango Massa leve®,1 xícara de chá,100,51,266
Capeletti de presunto,1 escumadeira,50,25,143
Cappuccino Baunilha  3 corações ® pó,1 Colher de Sopa,10,7,41
Cappuccino Chocolate  3 corações ® pó,1 Colher de Sopa,10,7,40
Cappuccino Classic  3 corações ®,1 cápsula,11,7,44
Cappuccino Classic  3 corações ® pó,1 Colher de Sopa,10,7,43
Cappuccino Classic Pronto  3 corações ®,1 unidade / garrafinha,260,39,267
Cappuccino Descafeinado  3 corações ®  pó,1 Colher de Sopa,10,6,36
Cappuccino Diet  3 corações ® pó,1 Colher de Sopa,10,4,45
Cappuccino em pó,1 Colher de Sopa,10,7,42
Cappuccino Light  3 corações ® pó,1 Colher de Sopa,10,6,35
Cappuccino Light  3 corações ® pó,1 sachê,14,9,49
Caqui,1 unidade média,110,21,78
Caqui,1 unidade pequena,85,16,60
Cará cozido,1 Colher de Sopa cheia,35,7,27
Carambola,1 unidade média,75,9,35
Caranguejo cozido,1 porção,100,0,83
Carne assada,1 fatia média,90,0,259
"Carne bovina, acém, moído, cozido",1 Colher de Sopa cheia,25,0,53
"Carne bovina, costela assada",1 pedaço médio,40,0,149
"Carne bovina, picanha, com gordura, grelhada",1 bife médio,100,0,289
Carne de boi cozida,1 Colher de Sopa,30,0,65
Carne de boi cozida,1 pedaço,35,0,75
Carne de boi cozida,1 Colher de Arroz / Servir,70,0,150
Carne de boi moída,1 Colher de Sopa cheia,25,0,49
"Carne de boi, lagarto cozido",1 fatia média,100,0,222
"Carne de boi, lagarto cru",1 fatia média,100,0,135
"Carne de boi, maminha, grelhado",1 filé médio,100,0,153
"Carne de boi, paleta sem gordura, cozida",1 filé médio,100,0,194
"Carne de boi, paleta sem gordura, crua",1 filé médio,100,0,141
"Carne de boi, picanha com gordura, grelhada",1 filé médio,100,0,289
"Carne de boi, picanha sem gordura, grelhada",1 filé médio,100,0,238
Carne de cabrito magra,1 pedaço médio,100,0,179
Carne de cordeiro magra,1 pedaço médio,100,0,162
"Carne de porco, bisteca grelhada",1 filé médio,100,0,280
"Carne de porco, lombo assado",1 bife médio,100,0,210
"Carne de porco, pernil assado",1 fatia média,90,0,236
Carne de sol (carne seca),1 Colher de Sopa cheia,18,0,77
"Carne de vaca, maminha",1 filé médio,100,0,153
Carne ensopada com legumes,1 Colher de Sopa cheia,35,3,57
Carne vegetal (proteína texturizada de soja),1 xícara,50,10,139
Carpa assada,1 filé médio,100,0,110
Carpaccio de carne,1 fatia média,15,0,43
Carpaccio de Haddock,1 fatia média,15,0,17
Carpaccio de salmão,1 fatia média,15,0,21
Carré,1 unidade média,90,0,213
Caruru (hortaliça crua picada),1 Colher de Sopa,20,1,7
Caruru (prato baiano),1 Colher de Sopa,40,3,67
Casquinha de siri,1 unidade pequena,16,0,27
Castanha de caju,1 unidade média,3,1,17
Castanha do Pará,2 unidades médias,8,1,51
Castanha portuguesa,1 unidade média,4,2,8
Catchup / Ketchup,1 sachê,7,2,6
Catchup / Ketchup,1 Colher de Sopa,12,2,11
Catupiry,1 Colher de Sopa,30,0,80
CBO (Mc’Donalds®),1 unidade,240,56,643
Cebola picada,1 Colher de sopa,10,1,4
Cebolinha crua (picada),2 Colheres de Sopa,4,0,1
Cebolitos (Elma Chips®),1 xícara,17,11,85
Cenoura cozida,1 Colher de Sopa,25,2,8
Cenoura crua ralada,1 Colher de Sopa,12,1,4
Centeio (farinha integral),1/2 xícara,50,37,168
"Cereal barra Nestlé® banana, aveia e mel",1 unidade,20,11,63
Cereal barra Nutry® coco com chocolate,1 unidade,22,16,90
Cereal barra Trio® light morango com chocolate,1 unidade,20,14,74
Cereal infantil 3 cereais Mucilon Nestlé®,1 Colher de Sopa,7,6,27
"Cereal infantil banana, maçã e quinoa Mucilon Nestle®",1 Colher de Sopa,7,5,25
Cereal infantil de arroz / milho Mucilon Nestlé®,1 Colher de Sopa,7,6,26
Cereal matinal All bran Fibre Plus Kellogg’s®,1 xícara,40,134,19
Cereal matinal All bran flakes Kellogg’s®,1 xícara,30,20,107
Cereal matinal Chocokrispis Kellogg’s®,1 xícara,30,25,116
Cereal matinal Corn flakes Kellogg’s®,1 xícara,30,24,108
Cereal matinal Crunch Nestlé®,1 xícara,30,22,117
Cereal matinal de milho,1 xícara,30,25,110
Cereal matinal de milho,1 Colher de Sopa,4,3,15
Cereal matinal de milho com açúcar,1 xícara,30,27,113
Cereal matinal de milho com açúcar,1 Colher de Sopa,4,3,15
Cereal matinal granola tradicional Kelloggs®,1/2 xícara,40,24,158
Cereal matinal granola tradicional Kelloggs®,1 Colher de Sopa,10,6,29
Cereal matinal Nesfit® frutas sem açúcar,1 xícara,30,21,102
Cereal matinal Nesfit® mel e amêndoas sem açúcar,1 xícara,30,22,108
Cereal matinal Nesfit® sem açúcar,1 xícara,30,21,100
Cereja em calda,1 unidade,7,2,6
Cereja fresca,1 unidade,7,1,5
Cerveja,1 lata,350,12,143
Cerveja 0% Carboidrato Bruder®,1 lata,350,0,112
Cerveja 0% de álcool,1 lata,350,20,84
Cerveja Amstel Ultra Heineken®,1 long neck,275,2.7,72
Cerveja Michelob Ultra Ambev®,1 long neck,330,2,79
Cerveja Noi® low carb,1 lata,350,2,94
Cerveja Stella Artois®  pure gold,1 long neck,330,1,34
Cerveja Stella Artois® tradicional,1 long neck,330,9,134
Cerveja tipo Malzbier,1 lata,350,49,210
"Cevada, infusão",1 xícara de chá,200,6,30
"Cevada, pó",1 Colher de Sopa,10,6,30
Chá com açúcar (média),1 xícara de chá,200,16,64
Chá mate (infusão sem açúcar),1 xícara de chá,200,1,6
Chá sem açúcar (média),1 xícara de chá,200,1,4
Chambinho,1 unidade pequena,40,6,46
Champagne (Chandon®),1 taça,150,0,127
Champagne (Espumante tipo sidra),1 taça,150,4,123
Champignon (conserva),1 Colher de Sopa,27,1,6
Chandelle® chocolate,1 unidade,90,20,132
Chantilly,1 Colher de Sopa,20,3,63
Charutinho de folha de uva,1 porcao,100,3,99
Charutinho de repolho,1 porcao,100,2,67
Charuto folha de uva Habib’s,1 porção,245,19,263
Charuto repolho Habib’s,1 porção,285,23,295
Cheddar McMelt (Mc’ Donalds),1 unidade,0,31,474
Cheeseburger simples caseiro,1 unidade,130,32,430
Cheeseburguer (Bob’s),1 unidade,120,25,264
Cheeseburguer (Burguer King),1 unidade,130,30,308
Cheeseburguer  (Mc’ Donalds),1 unidade,0,32,298
Cheesecake com Mirtilo (sorvete),1 bola,60,18,140
Cheetos (Elma Chips®),1 xícara,12,8,60
Chester,1 fatia média,32,0,53
Chia (Sementes),1 colher de sopa,10,4,44
Chicken Bacon Sandwich (Mc’ Donalds®),1 unidade,0,37,448
Chicken Crispy Deluxe Sandwich (Mc’ Donalds®),1 unidade,0,54,625
Chicken Crispy Melt & Bacon Sandwich (Mc’ Donalds®),1 unidade,0,54,651
Chicken Junior Sandwich (Mc’ Donalds®),1 unidade,171,38,343
Chicken Sandwich  (Mc’ Donalds®),1 unidade,0,37,396
Chiclete (média),1 unidade,5,4,16
Chiclete Adams®,1 unidade,2,1,5
Chiclete Bubbaloo®,1 unidade,5,4,16
Chiclete Mentos®  sem açúcar,1 unidade,2,1,3
Chiclete Trident®,1 unidade,2,1,3
Chicória crua,2 folhas grandes,34,1,5
Chicória refogada,1 colher de sopa cheia,45,3,39
Chimarrão,1 cuia média,200,3,13
Chipa de queijo (Forno de Minas®),1 unidade média,33,11,90
Chocolate 70% cacao Lindt®,1/4 barra,25,3.5,148
Chocolate Alpino diet Nestlé®,1 barra pequena,30,17,143
Chocolate Alpino Nestlé®,6 quadradinhos,25,14,137
Chocolate Alpino Nestlé®,1 bombom,13,7,71
Chocolate ao leite (média),1 barra pequena,25,15,135
Chocolate ao leite Classic diet Nestlé®,1 barra pequena,25,14,165
Chocolate ao leite Classic Nestlé®,6 quadradinhos,25,13,136
Chocolate ao leite diet Línea®,1 tablete,30,13,143
Chocolate ao leite Lacta®,4 quadrados,25,14,133
Chocolate Batom Nestlé®,1 unidade,16,8,87
Chocolate Bis Lacta®,1 unidade,6,4,31
Chocolate caramelo Twix®,1 unidade,15,10,75
Chocolate Diamante Negro®,4 quadradinhos,25,17,124
Chocolate diet Talento®,1 barra peq / 4 quad.,25,12,129
Chocolate em pó,1 Colher de Sopa,15,7,79
Chocolate Ferrero Rocher®,2 unidades,25,11,149
Chocolate Galak Nestlé®,6 quadradinhos,25,14,138
Chocolate Lindt Excellence 50% cacau,1/4 unidade,50,12,138
Chocolate meio amargo (média),1 barra pequena,25,16,119
Chocolate quente com leite (Mc’ Donalds®),1 copo pequeno,200,15,115
Chocolate quente com leite (Mc’ Donalds®),1 copo grande,300,22,173
Chocolate Suflair®,5 quadradinhos,25,13,138
Chocolate Talento®,1 barra peq / 4 quad.,25,13,136
Chocotone Bauducco®,1 fatia média,40,18,144
Chopp claro,1 tulipa,290,11,130
Chopp escuro,1 tulipa,290,12,142
Chouriço,1 gomo,60,1,227
Chuchu à milanesa,1 fatia média,70,10,127
Chuchu ao molho branco,1 Colher de Sopa cheia,30,3,28
Chuchu cozido (picado),1 Colher de Sopa,20,1,4
Chucrute,1 Colher de Sopa,15,0,2
Chucrute com salsicha,1 porção,75,3,145
Churrasquinho de panela,1 Colher de Sopa,25,0,46
Churros com doce de leite,1 unidade grande,88,38,283
Cidra,1 porção,100,10,40
Ciriguela,1 unidade,10,2,8
Coalhada desnatada Itambé®,1 pote,130,5,40
Coalhada integral Itambé®,1 pote,130,17,123
Coalhada seca natural Alibey,1 colher de sopa,15,1,19
Coalhada seca natural Alibey®,1 Colher de Sopa,15,1,19
Cobertura de chocolate ao leite Garoto®,4 quadradinhos,25,14,140
Coca-Cola Zero®,1 copo,200,0,0
Coca-Cola®,1 copo,200,21,85
Cocada,1 unidade média,70,40,259
Cocada queimada Brasil Caipira®,1 unidade,25,17,108
Cocada Zero açúcar Santa Helena®,1 unidade,20,11,86
Coco fresco ralado,1 colher de sopa,9,1,36
Coco in natura,1 pedaço médio,40,4,162
Coco ralado seco industrializado,1 colher de sopa,9,2,63
"Coco, leite de (industrializado)",1 copo,200,4,332
"Coco-da-baía, água-de",1 copo,200,11,44
Coentro,1 colher de sopa,8,4,25
Cogumelo (champignon) em conserva,1 colher de sopa,27,1,5
Colomba Pascal frutas cristalizadas Bauducco®,1 fatia média,60,29,187
Colomba Pascal gotas de chocolate Bauducco®,1 fatia média,60,29,211
Colomba Pascal gotas de chocolate Zero açúcar Casa Suíca®,1 fatia grande,80,46,328
Colorau,1 colher de sopa,16,6,51
Cominho em pó,1 colher de sopa,16,7,60
Confeito de chocolate ao leite M&M’s,1 colher de sopa,12,9,61
Confeito de chocolate ao leite M&M’s,1/2 pacote pequeno,25,18,121
Conhaque,1 dose,50,0,103
Cookie cheescake com framboesa (Subway®),1 unidade,45,29,200
Cookie chocolate branco com macadâmia (Subway®),1 unidade,45,28,220
Cookie chocolate com gotas de chocolate (Subway®),1 unidade,45,30,210
Cookies integrais chocolate Jasmine®,6 unidades - porção,30,21,123
Cookies integrais chocolate Jasmine®,1 unidade,5,3,20
Cookies integrais damasco com chocolate zero açúcar Jasmine®,8 unidades - porção,30,14,90
Cookies integrais damasco com chocolate zero açúcar Jasmine®,1 unidade,4,2,11
Cookies integral aveia e  mel Taeq®,6 unidades - porção,30,19,108
Cookies integral aveia e  mel Taeq®,1 unidade,5,3,18
Cookies original Bauducco®,1 unidade,10,6,44
Coração de frango grelhado,1 unidade média,5,0,10
Cosmopolitan,1 dose,118,17,174
Costela de boi assada,1 pedaço médio,40,0,149
Costela de porco cozida,1 pedaço médio,25,0,100
Couve (“Kraut”),1 folha média,20,1,10
Couve manteiga crua,1 folha média,20,1,5
Couve manteiga crua,1 colher de sopa,20,1,5
Couve manteiga refogada,1 colher de sopa,20,1,18
Couve-flor à milanesa,1 ramo médio,90,11,137
"Limão, geléia de",1 colher de sopa cheia,20,5,22
Limonada s/ açúcar,1 copo,240,2,7
Língua de boi cozida,1 fatia média,30,0,94
Língua de gato Kompenhagen Soul Good®,1 unidade,6,3,35
Língua de gato Kompenhagen®,1 unidade,6,3,36
Linguado assado,1 fatia média,100,0,133
Linguiça calabresa (média),1 unidade,50,0,150
Linguiça calabresa defumada,1 unidade,50,1,140
Linguiça de frango,1 gomo,60,0,122
Linguiça de peru,1 gomo,50,2,80
Linguiça paio,1 unidade,50,0,144
Linguiça toscana,1/2 unidade,50,1,90
Linhaça (semente),1 colher de sopa,13,6,65
Lombo de boi assado,1 pedaço médio,50,0,100
Lombo de porco assado,1 pedaço grande,100,0,210
Lombo de vitela assado/ cozido,1 pedaço médio,100,0,226
Lula cozida,1 unidade média,110,0,106
M&M´s® amendoim,1 colher de sopa,12,8,64
M&M´s® chocolate,1 colher de sopa,12,9,61
M&M´s® chocolate (mini),1 mini tubo,30,19,147
M&M’s® crispy,1 colher de sopa,12,8,57
Maçã com casca,1 unidade pequena,90,14,58
Maçã do amor,1 unidade,110,31,125
Maçã seca crocante Jasmine®,1 pacote,40,20,82
Maçã verde,1 unidade média,130,19,70
"Maçã, suco de (com açúcar)",1 copo,200,22,90
"Maçã, suco de (sem açúcar)",1 copo,200,13,51
Macadâmica natural,1 porção (punhado),30,4,225
Macarrão à bolonhesa,1 escumadeira cheia,110,25,135
Macarrão ao alho e óleo,1 escumadeira cheia,110,28,195
Macarrão carbonara,1 escumadeira cheia,110,14,294
Macarrão com atum,1 escumadeira cheia,110,21,174
"Macarrão com molho branco (leite, manteiga e farinha de trigo)",1 escumadeira cheia,110,27,153
Macarrão com molho de tomate,1 escumadeira cheia,110,22,131
Macarrão com molho pesto,1 escumadeira cheia,110,21,254
Macarrão cozido sem molho,1 escumadeira cheia,110,30,138
Macarrão de arroz (sem glúten),1 escumadeira cheia,90,21,92
Macarrão de arroz e feijão cru Urbano®,1 1/2 xícara,80,52,261
Macarrão de arroz integral Urbano® cru (sem glúten),1 1/2 xícara,80,59,274
Macarrão de arroz Urbano® cru (sem glúten),1 1/2 xícara,80,62,280
Macarrão instantâneo Nissin Lámen® sabor Bacon,1 pacote,85,50,375
Macarrão instantâneo Nissin Lámen® sabor Carne,1 pacote,85,54,385
Macarrão instantâneo Nissin Lámen® sabor Costela,1 pacote,85,53,391
Macarrão instantâneo Nissin Lámen® sabor Galinha,1 pacote,85,50,376
Macarrão instantâneo Nissin Lámen® sabor Legumes,1 pacote,85,51,385
Macarrão instantâneo Nissin Lámen® sabor Picanha,1 pacote,85,50,377
Macarrão integral ao alho e óleo,1 escumadeira cheia,110,28,195
Macarrão integral com frutos do mar,1 escumadeira cheia,110,21,143
Macarrão integral com molho de tomate,1 escumadeira cheia,110,25,124
Macarrão mini fusilli piccolini Barrila® cru,1 prato,80,58,282
Macaúba crua,2 unidades,90,13,362
Macaxeira cozida (aipim ou mandioca),1 pedaço grande,100,30,125
Macaxeira frita (aipim ou mandioca),1 pedaço grande,100,30,225
Maionese de batata com legumes,1 colher de sopa cheia,38,3,155
Maionese Heinz®,1 colher de sopa,12,0,80
Maionese Hellmann’s®,1 colher de sopa,12,1,37
Maionese industrializada,1 colher de sopa cheia,17,1,52
Maionese industrializada light,1 colher de sopa,12,1,49
Maionese light Hellmann’s®,1 colher de sopa,12,1,21
Maionese Liza® receita tipo caseira,1 colher de sopa,12,1,37
Maionese Liza® tradicional,1 colher de sopa,12,1,16
Maionese vegana Helmann’s®,1 colher de sopa,12,0,35
Maizena®,1 colher de sopa cheia,20,17,70
Mamão formosa,1 fatia grande,170,20,79
Mamão formosa,1 fatia média,100,12,47
Mamão papaia,1 fatia média,100,10,43
Mamão papaia,1/2 unidade,160,16,68
Mandioca cozida (aipim ou macaxeira),1 pedaço médio,60,18,75
Mandioca cozida (aipim ou macaxeira),1 colher de sopa,20,6,25
Mandioca frita (aipim ou macaxeira),1 pedaço grande,100,30,225
Mandioca frita (aipim ou macaxeira),1 pedaço médio,60,18,135
Mandioquinha ou batata-baroa cozida,1 colher de sopa,30,5,33
Mané pelado,1 pedaço médio,70,37,226
Manga,1 porção média,100,16,64
Manga Espada,1 porção média,100,17,72
Manga Haden,1 porção média,100,17,67
Manga Palmer,1 porção média,100,19,77
Mangaba,1 unidade,25,3,11
Maniçoba,1 fatia média,120,4,151
Manjar de coco,1 porção,100,35,196
Manjar de coco,1 colher de servir,60,21,117
Manteiga,1 colher de sopa rasa,19,0,127
Manteiga,1 colher de chá rasa,4,0,26
Manteiga light,1 colher de chá rasa,4,0,17
"Maracujá, polpa de",1 unidade pequena,45,6,33
Margarina,1 colher de chá rasa,4,0,25
Margarina,1 colher de sopa rasa,19,0,121
Margarina light,1 colher de sopa,10,0,32
Margarita,1 dose,77,11,168
Maria mole,1 porção,60,38,180
Marmelada,1 fatia média,40,28,111
Marreco assado,1 fatia média,100,0,201
Marron glacê,1 fatia média,50,35,141
Marshmallow Fini®,4 unidades,20,16,67
Martini,1 dose,70,0,160
Massa de panqueca sem recheio,1 unidade pequena,30,9,79
Massa de pizza integral Wickbold®,1 unidade,40,20,115
Massa para pizza,1 fatia média,20,11,57
Massa para pizza brotinho,1 unidade,40,19,113
Massa pronta para pastel,1 pastel,30,13,89
Matrinxã,1 pedaço médio,100,0,188
Maxixe cozido com casca,1 colher de sopa cheia,40,2,8
Mc Torta de Maçã®,1 unidade,0,29,205
McChicken (Mc’ Donalds®),1 unidade,0,37,396
McChicken Bacon  (Mc Donald’s®),1 unidade,0,37,448
McChicken Duplo  (Mc’ Donalds®),1 unidade,0,53,665
McChicken Junior  (Mc’ Donalds®),1 unidade,0,38,343
McColosso caramelo  (Mc’ Donalds®),1 unidade,0,52,269
McColosso chocolate   (Mc’ Donalds®),1 unidade,0,48,265
McCrispy Chicken Deluxe (Mc Donald’s®),1 unidade,0,54,625
McCrispy Chicken Legend (Mc’ Donalds®),1 unidade,0,66,964
McCrispy Chicken Melt & Bacon (Mc’ Donalds®),1 unidade,0,54,651
McFlurry Kit Kat Chocolate com Coco Caramelo  (Mc’ Donalds®),1 porção,0,72,476
McFlurry Kit Kat Chocolate com Coco Chocolate  (Mc’ Donalds®),1 porção,0,73,511
McFlurry Kit Kat Chocolate com Coco Morango  (Mc’ Donalds®),1 porção,0,78,512
McFlurry Kit Kat Triple Chocolate (Mc’ Donalds®),1 porção,0,67,480
McFlurry M&Ms Caramelo (Mc’ Donalds®),1 porção,0,86,504
McFlurry M&Ms Chocolate (Mc’ Donalds®),1 porção,0,81,502
McFlurry M&Ms Morango (Mc’ Donalds®),1 porção,0,80,467
McFlurry Ovomaltine Caramelo (Mc’ Donalds®),1 porção,0,88,473
McFlurry Ovomaltine Chocolate (Mc’ Donalds®),1 porção,0,81,468
McFlurry Ovomaltine Morango (Mc’ Donalds®),1 porção,0,86,453
McFritas Cheddar Bacon (Mc’ Donalds®),1 porção,0,38,431
McFritas Grande  (Mc’ Donalds®),1 porção,0,50,422
McFritas Kids  (Mc’ Donalds®),1 porção,0,11,92
McFritas Média  (Mc’ Donalds®),1 porção,0,35,295
McFritas Pequena  (Mc’ Donalds®),1 porção,0,25,211
McNífico Bacon  (Mc’ Donalds®),1 unidade,0,36,640
McNuggets 10  (Mc’ Donalds®),1 porção  (10 unidades),0,24,414
McNuggets 15  (Mc’ Donalds®),1 porção  (15 unidades),0,39,521
McNuggets 4  (Mc’ Donalds®),1 porção  (4 unidades),0,10,166
McNuggets 6  (Mc’ Donalds®),1 porção  (6 unidades),0,15,249
McShake Caramelo com farofa crocante de amendoim (Mc Donald’s®),1 porção,400,79,437
McShake Grimace (Mc Donald’s®),1 porção,400,65,350
McShake Kopenhagen (Mc Donald’s®),1 porção,400,110,758
McShake Morango (Mc Donald’s®),1 porção,400,81,425
McShake Ovomaltine (Mc Donald’s®),1 porção,400,106,562
Mel,1 colher de sopa rasa,15,12,49
Mel,1 sachê pequeno,5,5,16
Melado,1 colher de sopa rasa,16,12,49
Melancia,1 fatia média,200,13,58
Melão,1 fatia grande,115,9,33
Merengue,1 colher de sopa,25,23,95
Merengue com frutas vermelhas,2/3 de xícara de chá,100,41,216
Merluza assada,1 filé médio,100,0,116
Michui de filé mingnon (Almanara®),1 porção,100,2,89
Michui de frango (Almanara®),1 porção,100,2,91
Michui de peixe (Almanara®),1 porção,100,2,99
Milho verde,1 unidade grande,100,29,138
Milho verde cozido debulhado,1 colher de sopa cheia,24,6,33
Milho verde em conserva enlatado,1 colher de sopa cheia,24,5,25
Milk shake (média),1 copo,300,55,336
Milk shake crocante (Bob’s®),1 copo grande,700,74,551
Milk shake crocante (Bob’s®),1 copo médio,500,52,381
Milk shake crocante (Bob’s®),1 copo pequeno,300,31,225
Milk shake de baunilha,1 porção pequena,300,46,333
Milk shake de baunilha,1 porção pequena,300,46,333
Milk shake de baunilha,1 porção média,500,76,555
Milk shake de baunilha,1 porção grande,700,106,777
Milk shake de chocolate,1 porção pequena,300,49,355
Milk shake de chocolate,1 porção média,500,81,592
Milk shake de chocolate,1 porção grande,700,113,829
Milk shake de chocolate (Bob’s®),1 copo grande,700,70,886
Milk shake de chocolate (Bob’s®),1 copo médio,500,48,340
Milk shake de chocolate (Bob’s®),1 copo pequeno,300,29,204
Milk shake de morango,1 porção pequena,300,68,430
Milk shake de morango,1 porção média,500,113,717
Milk shake de morango,1 porção grande,700,159,1000
Milk shake de morango (Bob’s®),1 copo grande,700,141,800
Milk shake de morango (Bob’s®),1 copo médio,500,101,571
Milk shake de morango (Bob’s®),1 copo pequeno,300,53,308
Milk shake Nuts (Bob’s®),1 copo pequeno,300,29,312
Milk shake Nuts (Bob’s®),1 copo médio,500,48,556
Milk shake Nuts (Bob’s®),1 copo grande,700,73,814
Minestrone (sopa),1 prato fundo,300,26,159
Mingau (média),1 colher de sopa,37,8,50
Mingau de amido de milho (maisena) com açúcar,1 prato raso,195,59,301
Mingau de amido de milho (maisena) sem açúcar,1 prato raso,195,44,268
Mingau de aveia com açúcar,1 xícara de chá,200,30,219
Mingau de aveia sem açúcar,1 xícara de chá,200,25,145
Mini Bomba de Chocolate,1 unidade,20,7,60
Mini cenouras,1 xícara de chá,100,10,42
Mini churro de doce de leite (Habib’s®),1 unidade,20,9,56
Mini esfiha de carne,1 unidade,35,12,90
Mini Eski-bon (Kibon®),1 porção (9 bombons),60,20,219
Mini hamburguer (com pão),1 unidade,60,15,123
Mini hot dog,1 unidade,60,15,165
Mini kibe,1 unidade,40,5,4
Mini kibe frito de cremely (Habib’s®),1 unidade,45,8,100
Mini Oreo®,1 pacote,35,23,161
Mini pizza,1 unidade,25,14,73
Mini Torta de Limão,1 unidade,50,12,108
Mini Torta de Maçã,1 unidade,50,18,144
Mini Torta de Morango,1 unidade,50,18,109
Mini Trakinas® sabor chocolate,1 sachê (8 mini biscoitos),25,16,121
Mini Trakinas® sabor morango,1 sachê (8 mini biscoitos),25,17,123
Mirtilo (ou blueberry),1/2 xícara de chá,100,14,57
Missoshiro,1 porção,200,5,72
Misto quente,1 unidade,85,29,212
"Miúdos de boi (dobradinha, livrelho)",1 colher de sopa cheia,35,0,44
Mix 7 grãos Quaker®,1 colher de sopa1/2 xícara,40,22,137
Mix de Soja Natural Jasmine®,1 pacote,40,6,188
Mix Sementes e Frutas Jasmine®,1 pacote,40,16,151
Mix Sementes e Nuts Jasmine®,1 pacote,40,15,189
Mix Sementes Tradicional Jasmine®,1 pacote,40,14,209
MixDip M&M’s  (Mc’ Donalds®),1 porção,0,110,628
Mjadra Almanara®,1 colher de sopa,25,7,39
Moela,1 colher de sopa,25,0,31
Mojito,1 coquetel,225,25,217
Molho à bolonhesa,1 colher de sopa,20,1,22
Molho agridoce,1 colher de sopa,15,5,20
Molho agridoce  (Mc’ Donalds®),1 porção (blister),23,11,46
Molho barbecue  (Mc’ Donalds®),1 porção (blister),23,10,44
Molho barbecue  (Mc’ Donalds®),1 porção (blister),23,10,44
Molho branco,1 colher de sopa,20,1,13
Molho Caesar,1 colher de sopa cheia,25,2,62
Molho caipira  (Mc’ Donalds®),1 porção (blister),23,7,52
Molho caseiro azeite/vinagre,1 colher de sopa cheia,20,1,43
Molho de iogurte,1 colher de sopa cheia,35,2,38
Molho de mostarda e mel,1 colher de sopa,15,2,14
Molho de pimenta,1 colher de chá,5,0,1
Molho de tomate caseiro,1 colher de sopa,20,1,9
Molho de tomate tradicional industrializado,1 colher de sopa,20,2,8
Molho inglês,1 colher de sopa,14,1,6
Molho madeira,1 colher de sopa,15,1,11
Molho pesto,1 colher de sopa,20,1,80
Molho pesto,1 colher de sopa,20,1,96
Molho Ranch (Mc Donald’s®),1 colher de sopa cheia,23,1,111
Molho shoyo,1 colher de sopa,10,1,8
Molho tártaro gourmet,1 colher de sopa,20,0,34
Mondongo (dobradinha),1 colher de servir cheia,70,0,87
Moqueca de peixe,1 colher de servir cheia,60,2,79
Morango,1 unidade,12,1,4
Mortadela,1 fatia,20,3,53
Mortadela light,1 fatia,20,0,46
Moscow mule,1 coquetel,225,26,216
Mostarda,1 colher de sopa,12,0,7
Mostarda folha cozida,1 colher de sopa cheia,25,0,6
Mousse de chocolate,1 colher de sopa,30,5,71
Mousse de maracujá,1 colher de sopa,30,9,65
Mousse de Peixe,1 colher de servir rasa,50,2,86
Mucilon de arroz,1 colher de sopa cheia,7,6,28
Mucilon de milho,1 colher de sopa cheia,7,6,26
Muesli,1 colher de sopa,14,11,52
Muffin (média),1 unidade,30,17,121
Muffin de banana Suavipan®,1 unidade,40,21,147
Muffin de chocolate Suavipan®,1 unidade,40,21,142
Muffin de laranja Suavipan®,1 unidade,40,20,147
Munguzá,1 concha,100,39,185
Murici,1 unidade,50,5,21
Nabo cozido (picado),1 colher de sopa,15,0,4
Nachos,1 porção,25,14,120
Nectarina,1 unidade média,100,14,60
Negroni,1 dose,70,0,182
Negroni,1 dose,200,14,228
Nescau®,1 colher de sopa,10,8,36
Nescau® 33% menos açúcares,1 colher de sopa,10,8,35
Nescau® Ball,1 sachê,75,40,356
Nescau® Cereal,1 porção (3/4 de xícara),30,23,116
Nescau® Cereal Duo,1 porção (3/4 de xícara),30,23,117
Nescau® Cereal Extra Cacau,1 porção (3/4 de xícara),30,116,24
Nescau® Chocolate Branco,1 colher de sopa,10,8,38
Nescau® Cookie,1 porção,20,13,98
Nescau® Extra Cacau 30%,1 colher de sopa,10,6,36
Nescau® Extra Cacau 60%,1 colher de sopa,10,5,36
Nescau® Extra Cacau pronto pra beber,1 unidade,270,28,178
Nescau® Nescafé Dolce Gusgo,1 cápsula,17,9,73
Nescau® Prontinho,1 unidade,180,20,120
Nescau® Prontinho 3 em 1,1 unidade,180,16,115
Nescau® pronto pra beber,1 unidade,270,26,176
Nêspera,1 unidade média,90,10,37
Nesquick bebida láctea sabor morango (Nestlé®),1 unidade,200,19,120
